,Year,Asian Men,Asian Women,Black Men,Black Women,Hispanic Men,Hispanic Women,Total Men,Total Women,White Men,White Women
0,1988,63280,45150,47530,38590,41650,34640,62200,41080,63530,41580
1,1989,62920,47750,45660,38870,41030,35010,61090,41950,63800,42290
2,1990,57050,45450,45010,38450,40790,33410,59000,42250,61560,42730
3,1991,62030,43550,45400,38500,40670,33410,60510,42270,62250,42770
4,1992,61220,45740,44930,39640,39200,34270,60570,42880,61890,43320
5,1993,60490,47650,45060,38790,39440,32800,59520,42570,60850,43110
6,1994,61410,46840,45480,38140,38910,33650,59100,42530,60530,43340
7,1995,59080,46550,45710,38670,38130,32140,58940,42100,60200,42870
8,1996,62810,46590,48140,39150,38390,34030,58600,43230,60100,44050
9,1997,61900,49590,47180,39330,38580,33860,60100,44570,62820,45210
10,1998,61330,47660,47630,39880,39240,33850,62240,45540,63690,46210
11,1999,63640,49290,51300,41790,38670,33440,62780,45400,64160,45970
12,2000,67630,50820,50200,41840,39650,34450,62120,45800,64430,47100
13,2001,68260,50040,51130,43370,40910,35050,62420,47650,64960,48810
14,2002,67460,50630,50610,43300,41830,35290,63510,48650,65300,49230
15,2003,71920,51420,50870,42550,41160,35290,64170,48480,65030,49180
16,2004,70800,55420,48160,42690,41030,36140,62800,48090,63960,48700
17,2005,71910,54000,49480,44390,40050,36230,61920,47660,62810,48130
18,2006,74780,57160,50550,44130,42250,36630,61440,47270,64190,49090
19,2007,71880,57230,51130,43960,42810,37720,63950,49760,65220,50380
20,2008,70200,57720,51020,43060,42330,36710,63400,48880,64770,49500
21,2009,71060,58120,51480,43690,43100,37320,64700,49810,66850,50410
22,2010,70040,55910,49900,43750,42770,38170,64940,49960,67970,50610
23,2011,72350,53700,51860,44000,41830,38120,63310,48750,65770,49540
24,2012,75660,58740,49630,43670,41550,36630,63660,48700,64970,50270
25,2013,73180,55815,50930,42360,41000,38750,63690,49620,64430,51195
26,2014,71480,58170,51120,42100,43350,38030,63250,49740,64050,50770
27,2015,77870,60890,51640,45480,44820,39080,64340,51180,65130,51780
28,2016,81690,63030,51420,45110,46510,39250,64300,51740,65030,52430
29,2017,82930,63230,51275,45115,46795,39255,63835,51760,65645,53935
30,2018,84420,66660,53240,45630,47990,40230,66330,54100,67620,54900
31,2019,89450,67150,53950,48580,49080,42680,67920,55910,70940,57740
32,2020,96490,80150,59070,50570,52700,45320,71780,59670,72390,60070
33,2021,91590,71520,56200,52120,51310,44240,68510,57360,69140,57620
34,2022,90880,73390,53690,51430,49300,42770,64830,54440,67700,55230
35,2023,90830,71520,55570,50470,50120,43880,66790,55240,69480,55630
